Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Dec 18, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,cindy joseph boomstick,BROAD,bayfree,21,4,19.0476%,$0.96,3.84,0.00,,0.00,0,0,0.0000%,,,,
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom sticks moisturizer for older women,BROAD,best cream blush for mature skin,1,1,100.0000%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 21, 2022","Dec 21, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom sticks moisturizer for older women,BROAD,blush for mature skin,1,1,100.0000%,$0.84,0.84,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom sticks moisturizer for older women,BROAD,cheek and lip tint,12,1,8.3333%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 18, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom sticks moisturizer for older women,BROAD,makeup for women,883,3,0.3398%,$0.90,2.71,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 15, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom sticks moisturizer for older women,BROAD,older women makeup kit,1,1,100.0000%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 15, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom sticks moisturizer for older women,BROAD,primelash mascara for older women,7,1,14.2857%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom stick color stick,BROAD,boom color stick rose,1,1,100.0000%,$1.06,1.06,0.00,,0.00,0,0,0.0000%,,,,
"Dec 18, 2022","Dec 18, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom color by cindy joseph for older women,BROAD,plum blush for cheeks,8,1,12.5000%,$0.83,0.83,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 15, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_b_storefront spotlight_omg,bloom cosmetics,BROAD,fashion fair cosmetics,12,1,8.3333%,$0.97,0.97,0.00,,0.00,0,0,0.0000%,,,,
